Date,Account,Card_Bill_JV_Reference,Journal Number,Notes,Debit,Credit,Currency
09-02-2026,Mashreq_Main,JE-29,1029,Card bill Feb-26,13400,0,INR
09-02-2026,PettyCash_PJ,JE-29,1029,Card bill paid Feb-26,0,13400,INR
18-02-2026,Mashreq_Cash,JE-30,1030,Card bill Feb-26 Cash,3200,0,INR
18-02-2026,PettyCash_PJ,JE-30,1030,Card bill paid Feb-26 Cash,0,3200,INR
10-03-2026,Mashreq_Main,JE-31,1031,Card bill Mar-26,6900,0,INR
10-03-2026,PettyCash_PJ,JE-31,1031,Card bill paid Mar-26,0,6900,INR
18-03-2026,Mashreq_Cash,JE-32,1032,Card bill Mar-26 Cash,2200,0,INR
18-03-2026,PettyCash_PJ,JE-32,1032,Card bill paid Mar-26 Cash,0,2200,INR
10-04-2026,Mashreq_Main,JE-33,1033,Card bill paid Apl-26,11000,0,INR
10-04-2026,RK_Cash,JE-33,1033,Card bill paid Apl-26,0,11000,INR
18-04-2026,Mashreq_Cash,JE-34,1034,Card Bil -Apl 26,5000,0,INR
18-04-2026,PettyCash_PJ,JE-34,1034,Card Bil -Apl 26,0,5000,INR
10-05-2026,Mashreq_Main,JE-35,1035,Card Bil -May 26,6000,0,INR
10-05-2026,RK_Cash,JE-35,1035,Card Bil -May 26,0,6000,INR
20-05-2026,Mashreq_Cash,JE-36,1036,Card Bil -May 27,500,,INR
20-05-2026,RK_Cash,JE-36,1036,Card Bil -May 28,,500,INR
09-06-2026,Mashreq_Main,JE-37,1037,Card Bil -June 26,700,0,INR
09-06-2026,PettyCash_PJ,JE-37,1037,Card Bil -June 26,0,700,INR
10-07-2026,Mashreq_Main,JE-38,1038,Card Bil -July 26,5700,0,INR
10-07-2026,PettyCash_PJ,JE-38,1038,Card Bil -July 26,0,5700,INR
19-07-2026,Mashreq_Cash,JE-39,1039,Card bill July 26,3100,0,INR
19-07-2026,Mashreq_Cash,JE-39,1039,Card Bil -July 26,0,3100,INR
