Expense Date,Expense Account,Expense Description,Expense Amount,Vendor,Paid Through,Tax Percentage
28-06-2025,Staff Salaries,Salary Paid May WPS Charges,22795,,PettyCash_PJ,0
20-06-2025,Taxi & Parking - Business,Parking Card Recharge,100,,PettyCash_PJ,0
19-06-2025,Visa & Immigration Fees - Staff,Ajman Officee Emirates Card Paid,780,,PettyCash_PJ,0
18-06-2025,Staff Allowances & Benefits,T-shirt,275,,PettyCash_PJ,0
18-06-2025,Vehicle Maintenance - Business,Vehicle wash,15,,PettyCash_PJ,0
12-06-2025,Personal - Vehicle Maintenance,Bash House Speaker,350,,PettyCash_PJ,0
12-06-2025,Visa & Immigration Fees - Staff,Visa Paid Ajman Umesh Yadav,4240,,PettyCash_PJ,0
09-06-2025,Licensing & Government Fees,Licensing & Government Fees,8,,PettyCash_PJ,0
08-06-2025,Taxi & Parking - Business,Parking Board Recharge,100,,PettyCash_PJ,0
28-05-2025,Staff Salaries,Salary April WPS Charges,20877,,PettyCash_PJ,0
21-05-2025,Taxi & Parking - Business,Parking Card Recharge,100,,PettyCash_PJ,0
11-05-2025,Taxi & Parking - Business,Taxi & Parking - Business,52,,PettyCash_PJ,0
05-05-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
30-04-2025,Staff Salaries,Leave Salary Paid Dinesh,2000,,PettyCash_PJ,0
30-04-2025,Staff Salaries,April Salary Dinesh Paid,1565,,PettyCash_PJ,0
29-04-2025,Miscellaneous Business Expenses,A C New Room,400,,PettyCash_PJ,0
29-04-2025,Staff Salaries,Salary App March WPS,20960,,PettyCash_PJ,0
29-04-2025,Visa & Immigration Fees - Staff,Rajnath Visa Stamping Id,860,,PettyCash_PJ,0
28-04-2025,Local Conveyance - Business,Taxi Uttam Air Port To Company,70,,PettyCash_PJ,0
26-04-2025,Taxi & Parking - Business,Parking Recharge,50,,PettyCash_PJ,0
23-04-2025,Licensing & Government Fees,No Quota Paid,460,,PettyCash_PJ,0
21-04-2025,Licensing & Government Fees,Work Offer Letter,960,,PettyCash_PJ,0
21-04-2025,Visa & Immigration Fees - Staff,Shyam Visa Stamping Id,1120,,PettyCash_PJ,0
21-04-2025,Visa & Immigration Fees - Staff,Rajnath Visa Stamping Renewal,3900,,PettyCash_PJ,0
20-04-2025,Printing & Stationery,Photo Photo Shyam,15,,PettyCash_PJ,0
18-04-2025,Taxi & Parking - Business,Parking Recharge,52,,PettyCash_PJ,0
11-04-2025,Taxi & Parking - Business,Parking Remya,50,,PettyCash_PJ,0
04-04-2025,Visa & Immigration Fees - Staff,Visa Stamping Rajiv S R Paid Ajman,860,,PettyCash_PJ,0
02-04-2025,Taxi & Parking - Business,Parking Recharge,50,,PettyCash_PJ,0
30-03-2025,Miscellaneous Business Expenses,Room Rents Shyam,450,,PettyCash_PJ,0
26-03-2025,Staff Salaries,Salary Feb WPS Charges,20588,,PettyCash_PJ,0
26-03-2025,Taxi & Parking - Business,Air Port Parking Shyam Pick,35,,PettyCash_PJ,0
23-03-2025,Miscellaneous Business Expenses,Pam N N,50,,PettyCash_PJ,0
18-03-2025,Taxi & Parking - Business,Parking card recharge,50,,PettyCash_PJ,0
12-03-2025,Taxi & Parking - Business,Parking Card Recharge,70,,PettyCash_PJ,0
09-03-2025,Tools & Equipment,Light Othe Tools,75,,PettyCash_PJ,0
06-03-2025,Visa & Immigration Fees - Staff,Shyam Visa Apply,4200,,PettyCash_PJ,0
05-03-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
26-02-2025,Miscellaneous Business Expenses,Gas stove,75,,PettyCash_PJ,0
26-02-2025,Staff Salaries,Leave Salary Paid Uttam Sharma,2000,,PettyCash_PJ,0
26-02-2025,Staff Salaries,Feb Salary Uttam Sharma Paid,1515,,PettyCash_PJ,0
26-02-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
25-02-2025,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
24-02-2025,Business Gifts & Client Entertainment,Moin Sir A C Paid,520,,PettyCash_PJ,0
24-02-2025,Staff Salaries,Salary Jan WPS Charges,19912,,PettyCash_PJ,0
22-02-2025,Licensing & Government Fees,Ajman Officee Shyam Offer Letter,260,,PettyCash_PJ,0
21-02-2025,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
20-02-2025,Air Travel - Business,Uttam Air Ticket Retan,1360,,PettyCash_PJ,0
19-02-2025,Vehicle Maintenance - Business,Bus Oil Filter Change,125,,PettyCash_PJ,0
18-02-2025,Tools & Equipment,Door opener,15,,PettyCash_PJ,0
16-02-2025,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
15-02-2025,Taxi & Parking - Business,Parking card recharge,50,,PettyCash_PJ,0
13-02-2025,Tools & Equipment,Makita Tartar Repair,270,,PettyCash_PJ,0
13-02-2025,Tools & Equipment,Bill Marble,75,,PettyCash_PJ,0
12-02-2025,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
08-02-2025,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
06-02-2025,Miscellaneous Business Expenses,Room Rents Dhirendra,400,,PettyCash_PJ,0
06-02-2025,Staff Allowances & Benefits,Paints No,80,,PettyCash_PJ,0
05-02-2025,Vehicle Fuel - Business,Petrol,120,,PettyCash_PJ,0
04-02-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
04-02-2025,Tools & Equipment,Bill Marble,63,,PettyCash_PJ,0
02-02-2025,Miscellaneous Business Expenses,Miscellaneous Business Expenses,10,,PettyCash_PJ,0
02-02-2025,Vehicle Fuel - Business,Petrol,100,,PettyCash_PJ,0
31-01-2025,Credit Card Epp Instalments,No C Card Apply Rajkishor Dhirendra,15,,PettyCash_PJ,0
31-01-2025,Local Conveyance - Business,Transport Sharif Comto,120,,PettyCash_PJ,0
31-01-2025,Taxi & Parking - Business,Card Recharge Parking,35,,PettyCash_PJ,0
31-01-2025,Tools & Equipment,Bill Demand Cancel,63,,PettyCash_PJ,0
31-01-2025,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
31-01-2025,Vehicle Maintenance - Business,Bus Brake Plate Change Armature,650,,PettyCash_PJ,0
30-01-2025,Staff Salaries,Salary Dec WPS Charges,21326,,PettyCash_PJ,0
29-01-2025,Miscellaneous Business Expenses,Rents Day Dhirendra Paid,200,,PettyCash_PJ,0
27-01-2025,Printing & Stationery,Prints,4,,PettyCash_PJ,0
27-01-2025,Tools & Equipment,Bill No,63,,PettyCash_PJ,0
27-01-2025,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
26-01-2025,Local Conveyance - Business,Transport Company To Sheri To Company,50,,PettyCash_PJ,0
24-01-2025,Taxi & Parking - Business,Parking Card Rechay,20,,PettyCash_PJ,0
23-01-2025,Miscellaneous Business Expenses,Taxi Company To Shari No,30,,PettyCash_PJ,0
23-01-2025,Vehicle Fuel - Business,Petrol,110,,PettyCash_PJ,0
21-01-2025,Tools & Equipment,Bill Gratuity No,63,,PettyCash_PJ,0
18-01-2025,Vehicle Fuel - Business,Petrol,120,,PettyCash_PJ,0
17-01-2025,Printing & Stationery,Prints,5,,PettyCash_PJ,0
16-01-2025,Licensing & Government Fees,Bus R T A Passon Paid,250,,PettyCash_PJ,0
16-01-2025,Licensing & Government Fees,Ajman License Renewal Sponsor,18900,,PettyCash_PJ,0
16-01-2025,Staff Salaries,Dec Jan Salary Paid Budhiram,2708,,PettyCash_PJ,0
16-01-2025,Staff Salaries,Budhiram Leave Garati Salary Paid,3400,,PettyCash_PJ,0
16-01-2025,Vehicle Maintenance - Business,Bus Mulkiya (Vehicle Registration) Typary,420,,PettyCash_PJ,0
16-01-2025,Vehicle Maintenance - Business,Bus Insurance,1170,,PettyCash_PJ,0
15-01-2025,Personal - Staff & Services,Moin A C Paid Bhadur Complaint,100,,PettyCash_PJ,0
15-01-2025,Vehicle Fuel - Business,Petrol,120,,PettyCash_PJ,0
15-01-2025,Vehicle Maintenance - Business,Vehicle wash,50,,PettyCash_PJ,0
15-01-2025,Vehicle Maintenance - Business,Bus Speed Meter New Certificate,780,,PettyCash_PJ,0
15-01-2025,Visa & Immigration Fees - Staff,Insurance Rajkishor,140,,PettyCash_PJ,0
13-01-2025,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
13-01-2025,Tools & Equipment,Bill Demand No,63,,PettyCash_PJ,0
12-01-2025,Air Travel - Business,Air Ticket Budhiram,540,,PettyCash_PJ,0
10-01-2025,Printing & Stationery,Prints,5,,PettyCash_PJ,0
10-01-2025,Staff Salaries,Dhirendra Advance,300,,PettyCash_PJ,0
10-01-2025,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
09-01-2025,Visa & Immigration Fees - Staff,Rajkishor Visa Id Typing Ajman,1120,,PettyCash_PJ,0
08-01-2025,Printing & Stationery,Photocopy,7,,PettyCash_PJ,0
08-01-2025,Printing & Stationery,Dhirendra Photo Id,15,,PettyCash_PJ,0
07-01-2025,Miscellaneous Business Expenses,Room Rents Works To,800,,PettyCash_PJ,0
07-01-2025,Vehicle Maintenance - Business,Bus Clutch Nozzle Change Other,445,,PettyCash_PJ,0
06-01-2025,Taxi & Parking - Business,Parking Card Rechay,50,,PettyCash_PJ,0
06-01-2025,Vehicle Fuel - Business,Vehicle Fuel - Business,110,,PettyCash_PJ,0
06-01-2025,Vehicle Maintenance - Business,Bus Tyre Puncture Repair,16,,PettyCash_PJ,0
02-01-2025,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
31-12-2024,Licensing & Government Fees,WPS Renewal Al Ahliya El,160,,PettyCash_PJ,0
31-12-2024,Personal - Vehicle Maintenance,Bash House Glass,105,,PettyCash_PJ,0
31-12-2024,Printing & Stationery,Photocopy prints,5,,PettyCash_PJ,0
31-12-2024,Vehicle Fuel - Business,Petrol,110,,PettyCash_PJ,0
30-12-2024,Staff Salaries,WPS Salary Deposit Charges,70,,PettyCash_PJ,0
30-12-2024,Staff Salaries,Salary Nov,21686,,PettyCash_PJ,0
29-12-2024,Staff Health & Medical,Medicine Bash,35,,PettyCash_PJ,0
28-12-2024,Printing & Stationery,Photocopy,4,,PettyCash_PJ,0
28-12-2024,Staff Allowances & Benefits,Paints No Rajkishor,50,,PettyCash_PJ,0
28-12-2024,Staff Health & Medical,Medical Rajkishor,340,,PettyCash_PJ,0
28-12-2024,Vehicle Fuel - Business,Petrol,110,,PettyCash_PJ,0
27-12-2024,Staff Allowances & Benefits,Shoe Suraj Rajkishor Blanket Ramjanam,170,,PettyCash_PJ,0
26-12-2024,Tools & Equipment,Tailor No Repair Paid,200,,PettyCash_PJ,0
25-12-2024,Printing & Stationery,Photocopy,4,,PettyCash_PJ,0
25-12-2024,Staff Health & Medical,Medical Arun Kumar,340,,PettyCash_PJ,0
25-12-2024,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
25-12-2024,Visa & Immigration Fees - Staff,Suraj Arun Visa Stamping Id Ajman,1720,,PettyCash_PJ,0
25-12-2024,Visa & Immigration Fees - Staff,Dhirendra Advance Insurance,140,,PettyCash_PJ,0
24-12-2024,Printing & Stationery,Prints,5,,PettyCash_PJ,0
24-12-2024,Taxi & Parking - Business,Parking Recharge,50,,PettyCash_PJ,0
24-12-2024,Visa & Immigration Fees - Staff,Rajkishor Visa Buchr Cancel Arun Labour Card,9200,,PettyCash_PJ,0
21-12-2024,Staff Health & Medical,Medical Visa Suraj,340,,PettyCash_PJ,0
21-12-2024,Vehicle Fuel - Business,Petrol,110,,PettyCash_PJ,0
20-12-2024,Tools & Equipment,Bill Marble Miller,87,,PettyCash_PJ,0
18-12-2024,Printing & Stationery,Photocopy,5,,PettyCash_PJ,0
18-12-2024,Taxi & Parking - Business,Parking Recharge,50,,PettyCash_PJ,0
17-12-2024,Licensing & Government Fees,E-Channel Renewal Paid Ajman,1220,,PettyCash_PJ,0
17-12-2024,Miscellaneous Business Expenses,Room Bed Specs Sagar,400,,PettyCash_PJ,0
17-12-2024,Printing & Stationery,Photocopy,7,,PettyCash_PJ,0
17-12-2024,Printing & Stationery,Photo Dhirendra,15,,PettyCash_PJ,0
17-12-2024,Staff Allowances & Benefits,T-shirt,350,,PettyCash_PJ,0
17-12-2024,Vehicle Fuel - Business,Petrol,115,,PettyCash_PJ,0
17-12-2024,Vehicle Maintenance - Business,Bus Oil Filter Pipe Cement,165,,PettyCash_PJ,0
17-12-2024,Visa & Immigration Fees - Staff,Visa Stamping Survey C Hirencl,5780,,PettyCash_PJ,0
16-12-2024,Staff Allowances & Benefits,Jaket Bill,60,,PettyCash_PJ,0
14-12-2024,Vehicle Fuel - Business,Petrol,110,,PettyCash_PJ,0
14-12-2024,Vehicle Maintenance - Business,Bus Sticker Safety,30,,PettyCash_PJ,0
12-12-2024,Business Gifts & Client Entertainment,Moin Sir Gift Paid,1000,,PettyCash_PJ,0
12-12-2024,Staff Allowances & Benefits,Shoes - Budhiram,55,,PettyCash_PJ,0
12-12-2024,Visa & Immigration Fees - Staff,Outa Bahu Paid Ajman,300,,PettyCash_PJ,0
11-12-2024,Tools & Equipment,Bill Granite,40,,PettyCash_PJ,0
11-12-2024,Vehicle Fuel - Business,Petrol,120,,PettyCash_PJ,0
10-12-2024,Printing & Stationery,Printing/photocopy - works,10,,PettyCash_PJ,0
10-12-2024,Tools & Equipment,Wire Bench Socket Oth Tools,345,,PettyCash_PJ,0
09-12-2024,Staff Allowances & Benefits,Paints No Dhirendra Ramjanam,60,,PettyCash_PJ,0
09-12-2024,Staff Allowances & Benefits,"Shoes, helmet, jacket (staff)",230,,PettyCash_PJ,0
09-12-2024,Staff Health & Medical,Ram Janam Dhirendra Visa Medical,680,,PettyCash_PJ,0
09-12-2024,Taxi & Parking - Business,Parking Card Recharge,50,,PettyCash_PJ,0
09-12-2024,Visa & Immigration Fees - Staff,Outa Paid Ajman,350,,PettyCash_PJ,0
08-12-2024,Miscellaneous Business Expenses,Room Bed Specs Works Rajkishor Dhirendra,800,,PettyCash_PJ,0
08-12-2024,Staff Salaries,Advance Paid Dhirendra Rajkishor,400,,PettyCash_PJ,0
08-12-2024,Tools & Equipment,Shark Fin Car Cutting Median,130,,PettyCash_PJ,0
08-12-2024,Vehicle Fuel - Business,Petrol,120,,PettyCash_PJ,0
05-12-2024,Licensing & Government Fees,Rajkishor Offer Letter Paid Ajman,250,,PettyCash_PJ,0
05-12-2024,Printing & Stationery,Photocopy,10,,PettyCash_PJ,0
05-12-2024,Staff Allowances & Benefits,Blanket Pilo Oth Rajkishor Dhirendra,270,,PettyCash_PJ,0
05-12-2024,Taxi & Parking - Business,Air Port Parking Food C Hirencl Rajkisho New,55,,PettyCash_PJ,0
05-12-2024,Visa & Immigration Fees - Staff,Ram Janam Labour Card Renewal Paid,3900,,PettyCash_PJ,0
04-12-2024,Taxi & Parking - Business,Taxi & Parking - Business,50,,PettyCash_PJ,0
