Invoice Date,Work_Month ,Invoice Number,Customer Name,Tax Registration Number,PurchaseOrder,Item Desc,Quantity,Usage unit,Item Price,SubTotal,VAT5 %,Item Tax Amount,Total,Retention,Balance,Due Date,Payment Terms Label,Currency Code,Exchange Rate,Template Name,Account,Item Tax,Notes,Terms & Conditions,Invoice Type,Last Payment Date,Shipping Charge,Item Name,Discount,Discount Amount,Adjustment,Adjustment Description
11-Sep-24,Aug-24,GT-057,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,2130,Hrs,16,34080,5,1704,35784,0,0,11-Oct-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,05-Oct-24,0,Joinery Installation @16,0,0,0,
11-Sep-24,Aug-24,GT-058,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1980,Hrs,16,31680,5,1584,33264,0,0,11-Oct-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,05-Nov-24,0,Joinery Installation @16,0,0,0,
11-Nov-24,Oct-24,GT-059,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1856,Hrs,16,29696,5,1484.8,31180.8,0,0,11-Dec-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,05-Dec-24,0,Joinery Installation @16,0,0,0,
11-Dec-24,Nov-24,GT-060,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @16,1995,Hrs,16,31920,5,1596,33516,0,0,10-Jan-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,06-Jan-25,0,Joinery Installation @16,0,0,0,Adjustment
14-Jan-25,Aug-24,GT-061A,Golden Tower Metal Industries LLC,100388655100003,8220/18,Joinery Installation @18,719,Hrs,16,11504,5,575.2,12079.2,0,0,13-Feb-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,06-Feb-25,0,Joinery Installation @16,0,0,0,Adjustment
10-Jan-26,Dec-25,GT-061B,Golden Tower Metal Industries LLC,100388655100003,32021/25,Joinery Installation @18,1130,Hrs,18,20340,5,1017,21357,0,0,09-Feb-26,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,04-Feb-26,0,Joinery Installation @18,0,0,0,Adjustment
20-Feb-26,Jan-26,GT-062,Golden Tower Metal Industries LLC,100388655100003,32021/26,Joinery Installation @18,1526,Hrs,18,27468,5,1373.4,28841.4,0,0,07-Mar-26,Net 15,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,10-Mar-26,0,Joinery Installation @18,0,0,0,
15-Mar-26,Feb-26,GT-063,Golden Tower Metal Industries LLC,100388655100003,32021/27,Joinery Installation @18,1494,Hrs,18,26892,5,1344.6,28236.6,0,0,30-Mar-26,Net 15,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,02-Apr-26,0,Joinery Installation @18,0,0,0,
20-Apr-26,Mar-26,GT-064,Golden Tower Metal Industries LLC,100388655100003,32021/28,Joinery Installation @18,1291,Hrs,18,23238,5,1161.9,24399.9,0,0,05-May-26,Net 15,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,02-Jun-26,0,Joinery Installation @18,0,0,0,
03-Jun-26,April,GT-065,Golden Tower Metal Industries LLC,100388655100003,32021/29,Joinery Installation @18,1720,Hrs,18,30960,5,1548,32508,0,0,10-Jun-26,Custom,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,04-Jul-26,0,Joinery Installation @18,0,0,0,
11-Jun-26,May-26,GT-066,Golden Tower Metal Industries LLC,100388655100003,32021/30,Joinery Installation @18,1594,Hrs,18,28692,5,1434.6,30126.6,0,0,11-Jul-26,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,04-Jul-26,0,Joinery Installation @18,0,0,0,Adjustment
20-Jul-26,Jun-26,GT-067,Golden Tower Metal Industries LLC,100388655100003,32021/31,Joinery Installation @18,2529,Hrs,18,45522,5,2276.1,47798.1,0,47798.1,20-Jul-26,Due on Receipt,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,,0,Joinery Installation @18,0,0,0,Adjustment
15-Aug-26,Jul-26,GT-068,Golden Tower Metal Industries LLC,100388655100003,32021/32,Joinery Installation @18,3308.5,Hrs,18,59553,5,2977.65,62530.65,0,62530.65,30-Aug-26,Net 15,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,,0,Joinery Installation @18,0,0,0,Adjustment
03-Nov-23,Oct-23,SH-010,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,2562,Hrs,16,40992,5,2049.6,43041.6,0,0,03-Dec-23,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,11-Jun-24,0,Joinery Installation @16,0,0,0,
03-Dec-23,Nov-23,SH-011,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,2436,Hrs,16,38976,5,1948.8,40924.8,0,0,02-Jan-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,10-Aug-24,0,Joinery Installation @16,0,0,0,
03-Jan-24,Dec-23,SH-012,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1988,Hrs,16,31808,5,1590.4,33398.4,0,0,02-Feb-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,17-Oct-24,0,Joinery Installation @16,0,0,0,
03-Feb-24,Jan-24,SH-013,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1938,Hrs,16,31008,5,1550.4,32558.4,0,0,04-Mar-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,17-Oct-24,0,Joinery Installation @16,0,0,0,
23-Feb-24,Jan-24,SH-014,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,904,Hrs,16,14464,5,723.2,15187.2,0,0,24-Mar-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,30-Nov-24,0,Joinery Installation @16,0,0,0,
12-May-24,Apr-24,SH-015,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,308,Hrs,16,4928,5,246.4,5174.4,0,0,11-Jun-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,30-Nov-24,0,Joinery Installation @16,0,0,0,
12-Jun-24,May-24,SH-016,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1169,Hrs,16,18704,5,935.2,19639.2,0,0,12-Jul-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,30-Nov-24,0,Joinery Installation @16,0,0,0,
05-Jul-24,Jun-24,SH-017,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1258,Hrs,16,20128,5,1006.4,21134.4,0,0,04-Aug-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,30-Nov-24,0,Joinery Installation @16,0,0,0,
05-Aug-24,Jul-24,SH-018,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1440,Hrs,16,23040,5,1152,24192,0,0,04-Sep-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,08-Feb-25,0,Joinery Installation @16,0,0,0,
05-Sep-24,Aug-24,SH-019,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1480,Hrs,16,23680,5,1184,24864,0,0,05-Oct-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,08-Feb-25,0,Joinery Installation @16,0,0,0,
05-Oct-24,Sep-24,SH-020,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1488,Hrs,16,23808,5,1190.4,24998.4,0,0,04-Nov-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,08-Feb-25,0,Joinery Installation @16,0,0,0,
05-Nov-24,Oct-24,SH-021,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1788,Hrs,16,28608,5,1430.4,30038.4,0,0,05-Dec-24,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,28-Mar-25,0,Joinery Installation @16,0,0,0,
05-Dec-24,Nov-24,SH-022,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1842,Hrs,16,29472,5,1473.6,30945.6,0,0,04-Jan-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,28-Mar-25,0,Joinery Installation @16,0,0,0,
05-Jan-25,Dec-24,SH-023,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,2193,Hrs,16,35088,5,1754.4,36842.4,0,0,04-Feb-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,09-May-25,0,Joinery Installation @16,0,0,0,
05-Feb-25,Jan-25,SH-024,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @30,2200,Hrs,16,35200,5,1760,36960,0,0,07-Mar-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,09-May-25,0,Joinery Installation @30,0,0,0,
05-Mar-25,Feb-25,SH-025,Sharif Carpentry and Decor LLC,100056205600003,5112,,1680,Hrs,16,26880,5,1344,28224,0,0,05-Mar-25,Due on Receipt,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,01-Aug-25,0,Joinery Installation @16,0,0,0,Adjustment
05-Apr-25,Mar-25,SH-026,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1460,Hrs,16,23360,5,1168,24528,0,0,05-May-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,01-Aug-25,0,Joinery Installation @16,0,0,0,
05-May-25,Apr-25,SH-027,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,2024,Hrs,16,32384,5,1619.2,34003.2,0,0,04-Jun-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,26-Sep-25,0,Joinery Installation @16,0,0,0,
05-Jun-25,May-25,SH-028,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,2144,Hrs,16,34304,5,1715.2,36019.2,0,0,05-Jul-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,20-Nov-25,0,Joinery Installation @16,0,0,0,
05-Jul-25,Jun-25,SH-029,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1864,Hrs,16,29824,5,1491.2,31315.2,0,0,04-Aug-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,20-Nov-25,0,Joinery Installation @16,0,0,0,
05-Aug-25,Jul-25,SH-030,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1840.5,Hrs,16,29448,5,1472.4,30920.4,0,0,04-Sep-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,20-Nov-25,0,Joinery Installation @16,0,0,0,
02-Sep-25,Aug-25,SH-031,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,2831,Hrs,16,45296,5,2264.8,47560.8,0,0,02-Oct-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,17-Jan-26,0,Joinery Installation @16,0,0,0,
02-Oct-25,Sep-25,SH-032,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,2106,Hrs,16,33696,5,1684.8,35380.8,0,0,01-Nov-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,17-Jan-26,0,Joinery Installation @16,0,0,0,
01-Nov-25,Oct-25,SH-033,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1811,Hrs,16,28976,5,1448.8,30424.8,0,0,01-Dec-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,17-Apr-26,0,Joinery Installation @16,0,0,0,
02-Dec-25,Nov-25,SH-034,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1716,Hrs,16,27456,5,1372.8,28828.8,0,15506.8,01-Jan-26,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,17-Apr-26,0,Joinery Installation @16,0,0,0,
02-Jan-26,Dec-25,SH-035,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1638,Hrs,16,26208,5,1310.4,27518.4,0,27518.4,01-Feb-26,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,,0,Joinery Installation @16,0,0,0,
05-Feb-26,Jan-26,SH-036,Sharif Carpentry and Decor LLC,100056205600003,5112,Joinery Installation @16,1264,Hrs,16,20224,5,1011.2,21235.2,0,21235.2,07-Mar-26,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,,0,Joinery Installation @16,0,0,0,
02-Mar-26,Feb-26,SH-037,Sharif Carpentry and Decor LLC,100056205600003,5112,,942,Hrs,16,15072,5,753.6,15825.6,0,15825.6,02-Mar-26,Due on Receipt,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,,0,Joinery Installation @16,0,0,0,Adjustment
02-Apr-26,Apr-26,SH-038,Sharif Carpentry and Decor LLC,100056205600003,5112,,666,Hrs,16,10656,5,532.8,11188.8,0,11188.8,02-Apr-26,Due on Receipt,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,,0,Joinery Installation @16,0,0,0,Adjustment
04-May-26,Apr-26,SH-039,Sharif Carpentry and Decor LLC,100056205600003,5112,,660,Hrs,16,10560,5,528,11088,0,11088,04-May-26,Due on Receipt,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,,0,Joinery Installation @16,0,0,0,
10-Jun-26,May-26,SH-040,Sharif Carpentry and Decor LLC,100056205600003,5112,,804,Hrs,16,12864,5,643.2,13507.2,0,13507.2,25-Jun-26,Net 15,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,,0,Joinery Installation,0,0,0,Adjustment
03-Jul-26,Jun-26,SH-041,Sharif Carpentry and Decor LLC,100056205600003,5112,,216,Hrs,16,3456,5,172.8,3628.8,0,3628.8,03-Jul-26,Due on Receipt,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,,0,Joinery Installation,0,0,0,Adjustment
28-Jan-25,Dec-24,VW-001,VisionWood International LLC,100060237300003,8620561,Joinery Installation-Contract,1,Hrs,10461.82,10461.82,5,523.09,10984.91,0,0,27-Feb-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,17-Feb-25,0,Joinery Installation-Contract,0,0,0,
23-Feb-25,Jan-25,VW-002,VisionWood International LLC,100060237300003,8620561,Joinery Installation-Contract,1,Hrs,29580.99,29580.99,5,1479.05,31060.04,0,0,25-Mar-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,26-Mar-25,0,Joinery Installation-Contract,0,0,0,
13-Jun-25,May-25,VW-003,VisionWood International LLC,100060237300003,8620561,Joinery Installation-Contract,1,Hrs,46155.45,46155.45,5,2307.77,48463.22,0,0,13-Jul-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,13-Jun-25,0,Joinery Installation-Contract,0,0,0,
01-Aug-25,Jul-25,VW-004,VisionWood International LLC,100060237300003,8620561,Joinery Installation @16,1,Hrs,6731.7,6731.7,5,336.59,7068.29,0,0,31-Aug-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,26-Sep-25,0,Joinery Installation @16,0,0,0,
19-Aug-25,Jul-25,VW-005,VisionWood International LLC,100060237300003,8620561,Joinery Installation @16,1,Hrs,21574.5,21574.5,5,1078.73,22653.23,0,0,18-Sep-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,19-Aug-25,0,Joinery Installation @16,0,0,0,
17-Oct-25,Sep-25,VW-006,VisionWood International LLC,100060237300003,8622373,Joinery Installation @16,1050,Hrs,16,16800,5,840,17640,0,0,16-Nov-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,17-Nov-25,0,Joinery Installation @16,0,0,0,
20-Oct-25,Sep-25,VW-005R,VisionWood International LLC,100060237300003,8622373,Joinery Installation @16,2656,Hrs,16,42496,5,2124.8,44620.8,0,0,19-Nov-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,20-Oct-25,0,Joinery Installation @16,0,0,0,
01-Dec-25,Nov-25,VW-009,VisionWood International LLC,100060237300003,8623931,Joinery Installation @16,1364,Hrs,16,21824,5,1091.2,22915.2,0,0,31-Dec-25,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,11-Jun-26,0,Joinery Installation @16,0,0,0,
04-Dec-25,Nov-25,VW-008,VisionWood International LLC,100060237300003,8623551,Joinery Installation @17,1055,Hrs,17,17935,5,896.75,18831.75,0,0,03-Jan-26,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,15-Jan-26,0,Joinery Installation @17,0,0,0,
28-Jan-26,Dec-25,VW-010,VisionWood International LLC,100060237300003,8622373,Joinery Installation @15,150,Hrs,16,2400,5,120,2520,0,0,27-Feb-26,Net 30,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,16-Mar-26,0,Joinery Installation @15,0,0,0,
20-May-26,Feb-26,VW-011,VisionWood International LLC,100060237300003,8620561,,1,LS,6026.5,6026.5,5,301.33,6327.83,0,0,04-Jun-26,Net 15,AED,1,Cherrysoft,Sales,VAT 5%,Thanks for your business.,,Invoice,10-Jun-26,0,Retention Release,0,0,0,Adjustment
